Artist,Track,Popularity Score,Country,Track Duration,Key,Tempo (bpm),Time Signature,Loudness (dB),Valence,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Genre 9,Genre 10
Irina Kairatovna,Алматы - Коста-Рика - Instrumental,50,Kazakhastan,02:37,C# Minor,117,4.0,-8.677,0.276,central asian hip hop, kazakh hip hop, kazakh pop,,,,,,,
Bakr,Сирень,52,Kazakhastan,03:12,C Minor,130,4.0,-7.709,0.222,kyrgyz hip hop,,,,,,,,,
Bakr,Эталон красоты,52,Kazakhastan,03:06,C# Major,119,5.0,-7.425,0.479,kyrgyz hip hop,,,,,,,,,
Bakr,Очи,52,Kazakhastan,02:50,F Minor,114,4.0,-6.839,0.629,kyrgyz hip hop,,,,,,,,,
Darkhan Juzz,Sheker,40,Kazakhastan,03:37,G# Minor,160,4.0,-8.729,0.491,central asian hip hop, kazakh hip hop, kazakh indie, kazakh pop,,,,,,
Жугунусов Мирас,Шыда,41,Kazakhastan,02:38,F# Major,110,4.0,-5.616,0.569,kazakh indie, kazakh pop,,,,,,,,
MiyaGi & Endspiel,I Got Love,60,Kazakhastan,04:36,D Minor,106,4.0,-4.376,0.203,estonian hip hop, russian hip hop, russian trap, uzbek pop,,,,,,
V $ X V PRiNCE,Дом 50,52,Kazakhastan,02:39,G Minor,83,4.0,-5.732,0.509,kazakh hip hop, russian hip hop,,,,,,,,
Hiro,Особа крутая,45,Kazakhastan,03:26,D Major,105,4.0,-9.471,0.445,kazakh hip hop,,,,,,,,,
Xcho,Ты и Я,59,Kazakhastan,02:28,A Minor,135,4.0,-3.87,0.385,russian hip hop,,,,,,,,,
V $ X V PRiNCE,Су,52,Kazakhastan,03:05,F Minor,93,4.0,-7.965,0.758,kazakh hip hop, russian hip hop,,,,,,,,
V $ X V PRiNCE,Суета,52,Kazakhastan,03:02,F# Minor,100,4.0,-7.339,0.341,kazakh hip hop, russian hip hop,,,,,,,,
Irina Kairatovna,Кеттiк,50,Kazakhastan,02:29,B Minor,105,4.0,-6.968,0.382,central asian hip hop, kazakh hip hop, kazakh pop,,,,,,,
Xcho,Про любовь,59,Kazakhastan,02:21,E Major,140,4.0,-6.819,0.516,russian hip hop,,,,,,,,,
Jah Khalib,Доча,55,Kazakhastan,02:28,C Minor,100,4.0,-6.313,0.631,central asian hip hop, kazakh hip hop, kazakh pop, russian gangster rap, russian hip hop,,,,,
Bakr,Ойлорумда,52,Kazakhastan,03:12,F Minor,120,4.0,-7.389,0.379,kyrgyz hip hop,,,,,,,,,
NBSPLV,The Lost Soul Down,67,Kazakhastan,03:12,G# Major,112,4.0,-7.478,0.761,Uncategorized,,,,,,,,,
NBSPLV,The Lost Soul Down,67,Lithuania,03:12,G# Major,112,4.0,-7.478,0.761,Uncategorized,,,,,,,,,
NBSPLV,The Lost Soul Down,67,Estonia,03:12,G# Major,112,4.0,-7.478,0.761,Uncategorized,,,,,,,,,
NBSPLV,The Lost Soul Down,67,Latvia,03:12,G# Major,112,4.0,-7.478,0.761,Uncategorized,,,,,,,,,
Irina Kairatovna,NE ÁŃGIME?,50,Kazakhastan,03:31,F Major,173,4.0,-5.976,0.509,central asian hip hop, kazakh hip hop, kazakh pop,,,,,,,
Asik,Arabian,36,Kazakhastan,01:51,C# Major,102,4.0,-8.017,0.162,Uncategorized,,,,,,,,,
Ulukmanapo,Летали,50,Kazakhastan,03:07,F# Minor,99,4.0,-5.764,0.0665,central asian hip hop, kyrgyz hip hop, russian gangster rap,,,,,,,
Irina Kairatovna,Kõk tu,50,Kazakhastan,03:40,F# Major,137,4.0,-6.667,0.923,central asian hip hop, kazakh hip hop, kazakh pop,,,,,,,
Xcho,Вороны,59,Kazakhastan,02:36,F Minor,175,4.0,-4.942,0.167,russian hip hop,,,,,,,,,
Kordhell,Murder In My Mind,75,Kazakhastan,02:25,A# Major,119,4.0,-0.514,0.568,drift phonk,,,,,,,,,
Kordhell,Murder In My Mind,75,Ukraine,02:25,A# Major,119,4.0,-0.514,0.568,drift phonk,,,,,,,,,
Kordhell,Murder In My Mind,75,Saudi Arabia,02:25,A# Major,119,4.0,-0.514,0.568,drift phonk,,,,,,,,,
MiyaGi & Endspiel,Люби меня,60,Kazakhastan,05:18,D Minor,145,4.0,-6.033,0.625,estonian hip hop, russian hip hop, russian trap, uzbek pop,,,,,,
The Neighbourhood,Sweater Weather,81,Kazakhastan,04:00,A# Major,124,4.0,-2.81,0.398,modern alternative rock, modern rock, pop, pov: indie,,,,,,
The Neighbourhood,Sweater Weather,81,Latvia,04:00,A# Major,124,4.0,-2.81,0.398,modern alternative rock, modern rock, pop, pov: indie,,,,,,
"Tyler, The Creator",See You Again (feat. Kali Uchis),84,Kazakhastan,03:00,F# Major,78,4.0,-9.222,0.62,hip hop, rap,,,,,,,,
"Tyler, The Creator",See You Again (feat. Kali Uchis),84,USA,03:00,F# Major,78,4.0,-9.222,0.62,hip hop, rap,,,,,,,,
"Tyler, The Creator",See You Again (feat. Kali Uchis),84,New Zealand,03:00,F# Major,78,4.0,-9.222,0.62,hip hop, rap,,,,,,,,
"Tyler, The Creator",See You Again (feat. Kali Uchis),84,Lithuania,03:00,F# Major,78,4.0,-9.222,0.62,hip hop, rap,,,,,,,,
"Tyler, The Creator",See You Again (feat. Kali Uchis),84,Estonia,03:00,F# Major,78,4.0,-9.222,0.62,hip hop, rap,,,,,,,,
"Tyler, The Creator",See You Again (feat. Kali Uchis),84,Latvia,03:00,F# Major,78,4.0,-9.222,0.62,hip hop, rap,,,,,,,,
Bakr,Бедный поэт,52,Kazakhastan,03:06,D# Minor,125,4.0,-5.074,0.129,kyrgyz hip hop,,,,,,,,,
Saixse,Malampagi,49,Malaysia,04:06,G Minor,125,4.0,-8.755,0.404,malay rap,,,,,,,,,
Saixse,Malampagi,49,Singapore,04:06,G Minor,125,4.0,-8.755,0.404,malay rap,,,,,,,,,
The Weeknd,Die For You (with Ariana Grande) - Remix,93,Malaysia,03:52,C# Minor,67,4.0,-7.594,0.506,canadian contemporary r&b, canadian pop, pop,,,,,,,
The Weeknd,Die For You (with Ariana Grande) - Remix,93,Philipines,03:52,C# Minor,67,4.0,-7.594,0.506,canadian contemporary r&b, canadian pop, pop,,,,,,,
The Weeknd,Die For You (with Ariana Grande) - Remix,93,United Emirates,03:52,C# Minor,67,4.0,-7.594,0.506,canadian contemporary r&b, canadian pop, pop,,,,,,,
The Weeknd,Die For You (with Ariana Grande) - Remix,93,Singapore,03:52,C# Minor,67,4.0,-7.594,0.506,canadian contemporary r&b, canadian pop, pop,,,,,,,
JVKE,golden hour,80,Malaysia,03:29,E Major,94,3.0,-4.801,0.153,modern indie pop, pov: indie, singer-songwriter pop,,,,,,,
JVKE,golden hour,80,Singapore,03:29,E Major,94,3.0,-4.801,0.153,modern indie pop, pov: indie, singer-songwriter pop,,,,,,,
Luqman Podolski,Mungkin Aku Tak Penting? (feat. Tish Errda),48,Malaysia,03:07,E Major,154,4.0,-9.752,0.339,malay rap,,,,,,,,,
Doechii,What It Is (Solo Version),71,Malaysia,03:09,C# Minor,171,4.0,-5.851,0.757,alternative r&b,,,,,,,,,
Doechii,What It Is (Solo Version),71,Philipines,03:09,C# Minor,171,4.0,-5.851,0.757,alternative r&b,,,,,,,,,
Doechii,What It Is (Solo Version),71,United Emirates,03:09,C# Minor,171,4.0,-5.851,0.757,alternative r&b,,,,,,,,,
Sabrina Carpenter,Nonsense,75,Malaysia,02:43,G# Major,138,4.0,-4.912,0.732,pop,,,,,,,,,
